"instPkgs" "instVers"
"glmm" "1.3.0"
"globals" "0.12.5"
"glue" "1.3.1"
"gmailr" "1.0.0"
"googleAuthR" "1.1.1"
"googledrive" "1.0.0"
"googleID" "0.0.9001"
"gridBase" "0.4-7"
"gridExtra" "2.3"
"gridGraphics" "0.4-1"
"gtable" "0.3.0"
"haven" "2.2.0"
"hexbin" "1.28.0"
"hexSticker" "0.4.6"
"highlight" "0.5.0"
"highr" "0.8"
"Hmisc" "4.4-0"
"hms" "0.5.3"
"Holidays" "1.0-7"
"htmlTable" "1.13.3"
"htmltools" "0.4.0"
"htmlwidgets" "1.5.1"
"httpcode" "0.2.0"
"httpuv" "1.5.2"
"httr" "1.4.1"
"hunspell" "3.0"
"igraph" "1.2.4.2"
"influenceR" "0.1.0"
"ini" "0.3.1"
"isoband" "0.2.0"
"iterators" "1.0.12"
"itertools" "0.1-3"
"jpeg" "0.1-8.1"
"jqr" "1.1.0"
"jsonlite" "1.6.1"
"jsonvalidate" "1.1.0"
"KernSmooth" "2.23-16"
"knitr" "1.26"
"kSamples" "1.2-9"
"labeling" "0.3"
"lambda.r" "1.2.4"
"LandR" "0.0.1.9005"
"LandR.CS" "0.0.0.9000"
"LandWebUtils" "0.0.2"
"later" "1.0.0"
"latticeExtra" "0.6-28"
"lazyeval" "0.2.2"
"leaflet" "2.0.3"
"leaflet.extras" "1.0.0"
"leaflet.providers" "1.9.0"
"lifecycle" "0.1.0"
"listenv" "0.8.0"
"lme4" "1.1-21"
"logging" "0.10-108"
"lubridate" "1.7.4"
"lucr" "0.2.0"
"lwgeom" "0.1-7"
"magick" "2.2"
"magrittr" "1.5"
"map" "0.0.1"
"maptools" "0.9-9"
"markdown" "1.1"
"MASS" "7.3-51.5"
"Matrix" "1.2-18"
"MatrixModels" "0.4-1"
"matrixStats" "0.56.0"
"memoise" "1.1.0"
"merTools" "0.5.0"
"mgcv" "1.8-31"
"microbenchmark" "1.4-7"
"mime" "0.8"
"miniCRAN" "0.2.12"
"miniUI" "0.1.1.1"
"minqa" "1.2.4"
"modelr" "0.1.5"
"MuMIn" "1.43.17"
"munsell" "0.5.0"
"mvtnorm" "1.0-11"
"NetLogoR" "0.3.7"
"nlme" "3.1-147"
"nloptr" "1.2.1"
"nortest" "1.0-4"
"numbers" "0.7-5"
"numDeriv" "2016.8-1.1"
"openssl" "1.4.1"
"openxlsx" "4.1.4"
"ordinalForest" "2.3-1"
"packrat" "0.5.0"
"padr" "0.5.0"
"parsedate" "1.2.0"
"pbapply" "1.4-2"
"pbkrtest" "0.4-8.6"
"pedev" "0.0.1.9004"
"pemisc" "0.0.1.9005"
"pillar" "1.4.3"
"pkgbuild" "1.0.6"
"pkgconfig" "2.0.3"
"pkgdown" "1.4.1"
"pkgload" "1.0.2"
"plogr" "0.2.0"
"plyr" "1.8.5"
"png" "0.1-7"
"praise" "1.0.0"
"prettyunits" "1.1.0"
"processx" "3.4.1"
"profvis" "0.3.6"
"progress" "1.2.2"
"promises" "1.1.0"
"proto" "1.0.0"
"protolite" "2.1"
"pryr" "0.1.4"
"ps" "1.3.0"
"purrr" "0.3.3"
"qs" "0.21.2"
"quantmod" "0.4-15"
"quantreg" "5.55"
